entrez,gene_ID,cluster
29916,SNX11,3
29928,TIMM22,1
29937,NENF,1
29978,UBQLN2,1
30001,ERO1A,4
30836,DNTTIP2,1
50810,HDGFL3,4
50813,COPS7A,2
50814,NSDHL,1
50865,HEBP1,3
51001,MTERF3,1
51005,AMDHD2,3
51015,ISOC1,3
51021,MRPS16,1
51024,FIS1,3
51026,GOLT1B,1
51031,GLOD4,1
51053,GMNN,2
51056,LAP3,3
51070,NOSIP,1
51071,DERA,3
51097,SCCPDH,3
51116,MRPS2,1
51160,VPS28,3
51170,HSD17B11,1
51203,NUSAP1,2
51293,CD320,3
51375,SNX7,3
51382,ATP6V1D,1
51385,ZNF589,2
51422,PRKAG2,1
51465,UBE2J1,2
51466,EVL,3
51495,HACD3,4
51569,UFM1,1
51599,LSR,3
51635,DHRS7,1
54205,CYCS,1
54386,TERF2IP,1
54442,KCTD5,2
54499,TMCO1,1
54512,EXOSC4,1
54541,DDIT4,1
54623,PAF1,2
54733,SLC35F2,1
54807,ZNF586,3
54850,FBXL12,2
54881,TEX10,1
54957,TXNL4B,1
55008,HERC6,2
55011,PIH1D1,2
55012,PPP2R3C,1
55033,FKBP14,1
55038,CDCA4,2
55111,PLEKHJ1,1
55127,HEATR1,1
55148,UBR7,1
55179,FAIM,3
55256,ADI1,3
55556,ENOSF1,3
55604,CARMIL1,4
55608,ANKRD10,1
55748,CNDP2,3
55793,MINDY1,4
55818,KDM3A,2
55825,PECR,3
55837,EAPP,2
55847,CISD1,1
55958,KLHL9,2
56889,TM9SF3,1
56940,DUSP22,3
56997,COQ8A,4
57019,CIAPIN1,1
57178,ZMIZ1,2
57192,MCOLN1,1
57406,ABHD6,3
57761,TRIB3,1
57804,POLD4,2
58472,SQOR,4
58478,ENOPH1,3
58497,PRUNE1,4
58533,SNX6,3
60493,FASTKD5,1
60528,ELAC2,1
63874,ABHD4,3
64080,RBKS,3
64422,ATG3,1
64428,CIAO3,4
64429,ZDHHC6,3
64746,ACBD3,3
64781,CERK,3
64943,NT5DC2,3
65057,ACD,1
66008,TRAK2,3
79006,METRN,2
79073,TMEM109,3
79080,CCDC86,1
79090,TRAPPC6A,3
79094,CHAC1,1
79143,MBOAT7,3
79187,FSD1,1
79600,TCTN1,1
79643,CHMP6,3
79716,NPEPL1,1
79850,TLCD3A,4
79921,TCEAL4,3
79947,DHDDS,1
80347,COASY,3
80746,TSEN2,1
80758,PRR7,1
81533,ITFG1,1
83743,GRWD1,1
84159,ARID5B,2
84617,TUBB6,2
84722,PSRC1,3
84890,ADO,3
85236,H2BC12,4
89910,UBE3B,2
91949,COG7,3
93594,TBC1D31,1
116832,RPL39L,1
148022,TICAM1,2
200734,SPRED2,2
256364,EML3,3
388650,DIPK1A,4
